driver_id,role_id,driver_kind,anchor_year,anchor_value,unit,growth_curve_id,parent_role_id,parent_activity_coefficient,source_role,coverage_note,notes
serve_residential_building_occupants__service_demand,serve_residential_building_occupants,service_or_product_demand,2025,477000000.0,GJ_service_eq,residential_building_services__reference,,,Australian Energy Update,Aligned to residential final energy service anchor,Service demand drives residential building service activity.
provide_residential_water_heating__linked_parent,provide_residential_water_heating,linked_parent_activity,2025,119250000.0,GJ_hot_water_service,,serve_residential_building_occupants,0.25,Residential water-heating boundary decision,One-quarter of aggregate residential building service-equivalent activity is allocated to hot-water service for the v1 comparison pilot.,Linked parent activity keeps water-heating demand tied to residential building service demand until an end-use series is authored.
serve_commercial_building_occupants__service_demand,serve_commercial_building_occupants,service_or_product_demand,2025,314000000.0,GJ_service_eq,commercial_building_services__reference,,,Australian Energy Update,Aligned to commercial final energy service anchor,Service demand drives commercial building service activity.
account_remaining_residential_building_services__scale,account_remaining_residential_building_services,baseline_scale_factor,2025,1,residual_activity,flat__account_remaining_residential_building_services,,,Residual calibration,Scale factor preserves residual residential building coverage,Residual methods use one baseline activity unit.
account_remaining_commercial_building_services__scale,account_remaining_commercial_building_services,baseline_scale_factor,2025,1,residual_activity,flat__account_remaining_commercial_building_services,,,Residual calibration,Scale factor preserves residual commercial building coverage,Residual methods use one baseline activity unit.
move_passengers_by_road__service_demand,move_passengers_by_road,service_or_product_demand,2025,293414730000.0,pkm,passenger_road_transport__reference,,,BITRE,Aligned to passenger road task,Service demand drives passenger road activity.
move_freight_by_road__service_demand,move_freight_by_road,service_or_product_demand,2025,249000000000.0,tkm,freight_road_transport__reference,,,BITRE,Aligned to freight road task,Service demand drives freight road activity.
move_passengers_by_rail__scale,move_passengers_by_rail,baseline_scale_factor,2025,1,residual_activity,simple_role_growth_central__move_passengers_by_rail,,,Transport residual split,Scale factor preserves passenger rail residual coverage,Residual methods use one baseline activity unit.
move_freight_by_rail__scale,move_freight_by_rail,baseline_scale_factor,2025,1,residual_activity,simple_role_growth_central__move_freight_by_rail,,,Transport residual split,Scale factor preserves freight rail residual coverage,Residual methods use one baseline activity unit.
move_passengers_by_air__scale,move_passengers_by_air,baseline_scale_factor,2025,1,residual_activity,simple_role_growth_central__move_passengers_by_air,,,Transport residual split,Scale factor preserves passenger aviation residual coverage,Residual methods use one baseline activity unit.
move_freight_by_marine__scale,move_freight_by_marine,baseline_scale_factor,2025,1,residual_activity,simple_role_growth_central__move_freight_by_marine,,,Transport residual split,Scale factor preserves marine freight residual coverage,Residual methods use one baseline activity unit.
account_other_non_road_transport_activity__scale,account_other_non_road_transport_activity,baseline_scale_factor,2025,1,residual_activity,simple_role_growth_central__account_other_non_road_transport_activity,,,Transport residual split,Scale factor preserves other non-road transport residual coverage,Residual methods use one baseline activity unit.
account_residual_transport__scale,account_residual_transport,baseline_scale_factor,2025,1,residual_activity,flat__account_residual_transport,,,Transport residual split,Compatibility residual scale factor has no calibrated quantities after explicit non-road roles are authored.
deliver_low_temperature_heat__service_demand,deliver_low_temperature_heat,service_or_product_demand,2025,120000000.0,GJ_useful_heat,low_temperature_heat__reference,,,Australian Energy Update,Aligned to useful low temperature process heat,Host-owned process heat activity uses a service demand driver until host decomposition replaces it.
deliver_medium_temperature_heat__service_demand,deliver_medium_temperature_heat,service_or_product_demand,2025,140000000.0,GJ_useful_heat,medium_temperature_heat__reference,,,Australian Energy Update,Aligned to useful medium temperature process heat,Host-owned process heat activity uses a service demand driver until host decomposition replaces it.
deliver_high_temperature_heat__service_demand,deliver_high_temperature_heat,service_or_product_demand,2025,170000000.0,GJ_useful_heat,high_temperature_heat__reference,,,Australian Energy Update,Aligned to useful high temperature process heat,Host-owned process heat activity uses a service demand driver until host decomposition replaces it.
make_crude_steel__product_demand,make_crude_steel,service_or_product_demand,2025,5700000.0,t_crude_steel,crude_steel__reference,,,Australian production statistics,Aligned to crude steel plant gate output,Product demand drives aggregate crude steel activity.
make_non_h2_dri_crude_steel__linked_parent,make_non_h2_dri_crude_steel,linked_parent_activity,2025,0,t_crude_steel,,make_crude_steel,1,Role topology,Inherits parent crude steel activity when decomposition is active,Linked parent activity replaces a standalone demand anchor for this child.
make_direct_reduced_iron__linked_parent,make_direct_reduced_iron,linked_parent_activity,2025,0,t_dri,,make_crude_steel,1,Role topology,Inherits parent crude steel activity when decomposition is active,Linked parent activity replaces a standalone demand anchor for this child.
melt_and_refine_dri_into_crude_steel__linked_parent,melt_and_refine_dri_into_crude_steel,linked_parent_activity,2025,0,t_crude_steel,,make_crude_steel,1,Role topology,Inherits parent crude steel activity when decomposition is active,Linked parent activity replaces a standalone demand anchor for this child.
make_cement_equivalent__product_demand,make_cement_equivalent,service_or_product_demand,2025,9600000.0,t_cement_equivalent,cement_equivalent__reference,,,Australian production statistics,Aligned to cement equivalent output,Product demand drives cement equivalent activity.
account_residual_manufacturing__scale,account_residual_manufacturing,baseline_scale_factor,2025,1,residual_activity,flat__account_residual_manufacturing,,,Residual calibration,Scale factor preserves residual manufacturing coverage,Residual methods use one baseline activity unit.
account_residual_ippu__scale,account_residual_ippu,baseline_scale_factor,2025,1,residual_activity,flat__account_residual_ippu,,,Residual calibration,Scale factor preserves residual IPPU coverage,Residual methods use one baseline activity unit.
supply_grid_electricity__exogenous_series,supply_grid_electricity,exogenous_series,2025,0,MWh,electricity_supply__reference,,,Electricity balance,Supply activity is allocated by commodity balance in solves,Zero anchor keeps the supply role available without demand forcing.
account_grid_losses_and_own_use__scale,account_grid_losses_and_own_use,baseline_scale_factor,2025,1,residual_activity,flat__account_grid_losses_and_own_use,,,Residual calibration,Scale factor preserves grid losses and own-use coverage,Residual methods use one baseline activity unit.
account_residual_mining_energy__scale,account_residual_mining_energy,baseline_scale_factor,2025,1,residual_activity,flat__account_residual_mining_energy,,,Residual calibration,Scale factor preserves residual mining energy coverage,Residual methods use one baseline activity unit.
account_residual_fugitives__scale,account_residual_fugitives,baseline_scale_factor,2025,1,residual_activity,flat__account_residual_fugitives,,,Residual calibration,Scale factor preserves fugitive emissions coverage,Residual methods use one baseline activity unit.
raise_livestock_output__product_demand,raise_livestock_output,service_or_product_demand,2025,31134.94,A$m_output_2024,livestock_output__reference,,,ABS agricultural output,Aligned to livestock output value,Product demand drives livestock activity.
grow_crops_and_horticulture_output__product_demand,grow_crops_and_horticulture_output,service_or_product_demand,2025,36576.29,A$m_output_2024,cropping_horticulture_output__reference,,,ABS agricultural output,Aligned to crop and horticulture output value,Product demand drives crop and horticulture activity.
account_remaining_agricultural_activity__scale,account_remaining_agricultural_activity,baseline_scale_factor,2025,1,residual_activity,flat__account_remaining_agricultural_activity,,,Residual calibration,Scale factor preserves residual agriculture coverage,Residual methods use one baseline activity unit.
account_residual_construction__scale,account_residual_construction,baseline_scale_factor,2025,1,residual_activity,flat__account_residual_construction,,,Residual calibration,Scale factor preserves residual construction coverage,Residual methods use one baseline activity unit.
provide_water_services__scale,provide_water_services,baseline_scale_factor,2025,1,residual_activity,flat__provide_water_services,,,Residual calibration,Scale factor preserves residual water coverage,Residual methods use one baseline activity unit.
manage_waste_emissions__scale,manage_waste_emissions,baseline_scale_factor,2025,1,residual_activity,flat__manage_waste_emissions,,,Residual calibration,Scale factor preserves residual waste emissions coverage,Residual methods use one baseline activity unit.
account_residual_other_sectors__scale,account_residual_other_sectors,baseline_scale_factor,2025,1,residual_activity,flat__account_residual_other_sectors,,,Residual calibration,Scale factor preserves other sectors coverage,Residual methods use one baseline activity unit.
remove_co2_through_land_sequestration__exogenous_series,remove_co2_through_land_sequestration,exogenous_series,2025,0,tCO2_removed,land_sequestration__reference,,,Scenario setting,Removal activity is optional and scenario-driven,Zero anchor keeps removals available without demand forcing.
remove_co2_through_engineered_removals__exogenous_series,remove_co2_through_engineered_removals,exogenous_series,2025,0,tCO2_removed,engineered_removals__reference,,,Scenario setting,Removal activity is optional and scenario-driven,Zero anchor keeps removals available without demand forcing.
account_remaining_land_sink_adjustment__scale,account_remaining_land_sink_adjustment,baseline_scale_factor,2025,1,residual_activity,flat__account_remaining_land_sink_adjustment,,,Residual calibration,Scale factor preserves residual LULUCF sink coverage,Residual methods use one baseline activity unit.
supply_domestic_gas__scale,supply_domestic_gas,baseline_scale_factor,2025,1,residual_activity,simple_role_growth_central__supply_domestic_gas,,,Domestic fuel supply boundary decision,Supply domestic gas uses a residual_activity anchor of 1 until physical carrier quantities are authored.,Residual methods use one baseline activity unit and do not absorb fugitive emissions already carried by account_residual_fugitives.
supply_domestic_liquid_fuels__scale,supply_domestic_liquid_fuels,baseline_scale_factor,2025,1,residual_activity,simple_role_growth_central__supply_domestic_liquid_fuels,,,Domestic fuel supply boundary decision,Supply domestic liquid fuels uses a residual_activity anchor of 1 until physical carrier quantities are authored.,Residual methods use one baseline activity unit and do not absorb fugitive emissions already carried by account_residual_fugitives.
supply_domestic_solid_fuels__scale,supply_domestic_solid_fuels,baseline_scale_factor,2025,1,residual_activity,simple_role_growth_central__supply_domestic_solid_fuels,,,Domestic fuel supply boundary decision,Supply domestic solid fuels uses a residual_activity anchor of 1 until physical carrier quantities are authored.,Residual methods use one baseline activity unit and do not absorb fugitive emissions already carried by account_residual_fugitives.
supply_domestic_bioenergy__scale,supply_domestic_bioenergy,baseline_scale_factor,2025,1,residual_activity,simple_role_growth_central__supply_domestic_bioenergy,,,Domestic fuel supply boundary decision,Supply domestic bioenergy uses a residual_activity anchor of 1 until physical carrier quantities are authored.,Residual methods use one baseline activity unit and do not absorb fugitive emissions already carried by account_residual_fugitives.
supply_domestic_hydrogen__scale,supply_domestic_hydrogen,baseline_scale_factor,2025,1,residual_activity,simple_role_growth_central__supply_domestic_hydrogen,,,Domestic fuel supply boundary decision,Supply domestic hydrogen uses a residual_activity anchor of 1 until physical carrier quantities are authored.,Residual methods use one baseline activity unit and do not absorb fugitive emissions already carried by account_residual_fugitives.
supply_domestic_derived_fuels__scale,supply_domestic_derived_fuels,baseline_scale_factor,2025,1,residual_activity,simple_role_growth_central__supply_domestic_derived_fuels,,,Domestic fuel supply boundary decision,Supply domestic derived fuels uses a residual_activity anchor of 1 until physical carrier quantities are authored.,Residual methods use one baseline activity unit and do not absorb fugitive emissions already carried by account_residual_fugitives.
supply_thermal_coal_to_export_gate__scale,supply_thermal_coal_to_export_gate,baseline_scale_factor,2025,1,residual_activity,simple_role_growth_central__supply_thermal_coal_to_export_gate,,,Export-gate coal boundary decision,Supply thermal coal to export gate uses a residual_activity anchor of 1 until export tonnage and supply-chain quantities are authored.,Residual methods use one baseline activity unit and do not absorb fugitive methane already carried by account_residual_fugitives.
supply_metallurgical_coal_to_export_gate__scale,supply_metallurgical_coal_to_export_gate,baseline_scale_factor,2025,1,residual_activity,simple_role_growth_central__supply_metallurgical_coal_to_export_gate,,,Export-gate coal boundary decision,Supply metallurgical coal to export gate uses a residual_activity anchor of 1 until export tonnage and supply-chain quantities are authored.,Residual methods use one baseline activity unit and do not absorb fugitive methane already carried by account_residual_fugitives.
supply_iron_ore_to_export_gate__scale,supply_iron_ore_to_export_gate,baseline_scale_factor,2025,1,residual_activity,simple_role_growth_central__supply_iron_ore_to_export_gate,,,Export-gate iron ore boundary decision,Supply iron ore to export gate uses a residual_activity anchor of 1 until export tonnage and supply-chain quantities are authored.,Residual methods use one baseline activity unit; overseas steelmaking is excluded from the export-gate role boundary.
